iter	Passed	Remaining
0	1	136
1	2	124
2	3	121
3	5	126
4	6	121
5	7	119
6	8	116
7	9	114
8	11	112
9	12	109
10	13	108
11	14	107
12	15	106
13	17	105
14	18	105
15	19	104
16	21	105
17	23	104
18	24	103
19	25	101
20	26	99
21	27	97
22	28	95
23	29	94
24	31	93
25	32	92
26	33	91
27	35	90
28	36	88
29	37	87
30	38	85
31	39	84
32	41	83
33	42	82
34	43	81
35	44	79
36	46	78
37	47	77
38	49	76
39	50	75
40	52	75
41	53	73
42	54	72
43	55	70
44	56	69
45	58	68
46	59	67
47	61	66
48	62	65
49	64	64
50	65	62
51	66	61
52	67	60
53	69	58
54	70	57
55	71	56
56	72	55
57	74	53
58	75	52
59	77	51
60	78	50
61	80	49
62	81	48
63	83	46
64	84	45
65	85	44
66	86	42
67	88	41
68	90	40
69	91	39
70	92	37
71	94	36
72	96	35
73	97	34
74	98	32
75	99	31
76	101	30
77	103	29
78	104	27
79	105	26
80	107	25
81	108	23
82	109	22
83	110	21
84	111	19
85	113	18
86	114	17
87	115	15
88	117	14
89	118	13
90	120	11
91	122	10
92	124	9
93	126	8
94	127	6
95	128	5
96	130	4
97	132	2
98	133	1
99	135	0
